Date,GLD,IWM,QQQ,SPY,TLT
2012-01-03,155.9199981689453,62.1314582824707,50.440914154052734,99.877685546875,82.65547943115234
2012-01-04,156.7100067138672,61.79167556762695,50.653648376464844,100.03434753417969,81.6727066040039
2012-01-05,157.77999877929688,62.1397705078125,51.070308685302734,100.3006820678711,81.5273666381836
2012-01-06,157.1999969482422,61.982261657714844,51.247596740722656,100.04217529296875,82.17098236083984
2012-01-09,156.5,62.29718780517578,51.07917404174805,100.2850112915039,82.02568054199219
2012-01-10,158.63999938964844,63.20881652832031,51.45149612426758,101.15458679199219,81.88725280761719
2012-01-11,159.6699981689453,63.457462310791016,51.557865142822266,101.20935821533203,82.95306396484375
2012-01-12,160.3800048828125,63.648067474365234,51.76176834106445,101.45220947265625,82.83541870117188
2012-01-13,159.25999450683594,63.30827331542969,51.57560348510742,100.9273910522461,83.6590347290039
2012-01-17,160.5,63.28339385986328,52.045440673828125,101.31904602050781,84.0466079711914
2012-01-18,161.60000610351562,64.41050720214844,52.73688888549805,102.43926239013672,83.02919006347656
2012-01-19,161.22000122070312,64.8083267211914,53.06488800048828,102.97978973388672,81.88725280761719
2012-01-20,162.07000732421875,64.84976196289062,52.985107421875,103.3636245727539,80.9598617553711
2012-01-23,163.16000366210938,64.76688385009766,53.00284194946289,103.0972671508789,80.44771575927734
2012-01-24,162.00999450683594,65.13980102539062,52.905338287353516,102.97978973388672,80.59309387207031
2012-01-25,166.4199981689453,65.69508361816406,53.570194244384766,103.84146118164062,80.39929962158203
2012-01-26,167.27000427246094,65.62047576904297,53.384037017822266,103.30877685546875,81.465087890625
2012-01-27,168.97000122070312,66.06800842285156,53.5435905456543,103.26175689697266,81.72114562988281
2012-01-30,168.02999877929688,65.55419158935547,53.587913513183594,102.90927124023438,82.68318176269531
2012-01-31,169.30999755859375,65.48788452148438,53.658836364746094,102.87010192871094,83.63826751708984
2012-02-01,169.55999755859375,66.89674377441406,54.09320831298828,103.77098846435547,82.68017578125
2012-02-02,171.0500030517578,67.27796936035156,54.261653900146484,103.9354476928711,82.64552307128906
2012-02-03,167.63999938964844,68.74486541748047,55.00630569458008,105.39251708984375,80.8695068359375
2012-02-06,167.17999267578125,68.52112579345703,54.96197509765625,105.32199096679688,81.67424011230469
2012-02-07,169.6999969482422,68.47969055175781,55.077205657958984,105.58830261230469,80.661376953125
2012-02-08,168.5,68.62886047363281,55.3697395324707,105.90169525146484,80.72383880615234
2012-02-09,168.02000427246094,68.2890853881836,55.76868438720703,106.03482818603516,80.12027740478516
2012-02-10,167.13999938964844,67.3525619506836,55.37860870361328,105.25151824951172,81.160888671875
2012-02-13,167.50999450683594,68.22274017333984,55.89278030395508,106.03482818603516,81.26493835449219
2012-02-14,167.1199951171875,67.91610717773438,56.03459548950195,105.90169525146484,81.69506072998047
2012-02-15,168.11000061035156,67.3525619506836,55.644569396972656,105.40819549560547,81.5494155883789
2012-02-16,168.0,68.62055206298828,56.40694808959961,106.57537078857422,80.89726257324219
2012-02-17,167.35000610351562,68.6122817993164,56.22962951660156,106.85734558105469,80.87643432617188
2012-02-21,171.02000427246094,68.1481704711914,56.38920593261719,106.90435791015625,79.98153686523438
2012-02-22,172.94000244140625,67.60950469970703,56.13213348388672,106.55970764160156,80.98743438720703
2012-02-23,173.02000427246094,68.62055206298828,56.504451751708984,107.02970886230469,80.98743438720703
2012-02-24,172.22999572753906,68.48796844482422,56.69947814941406,107.26470947265625,81.51470184326172
2012-02-27,171.6999969482422,68.37193298339844,56.779258728027344,107.44488525390625,82.23621368408203
2012-02-28,173.49000549316406,68.18962860107422,57.35546112060547,107.75823974609375,81.96560668945312
2012-02-29,164.2899932861328,67.17027282714844,57.09839630126953,107.33525085449219,81.46617126464844
2012-03-01,166.61000061035156,67.51831817626953,57.55049133300781,107.89138793945312,80.6991958618164
2012-03-02,166.33999633789062,66.5072250366211,57.506195068359375,107.56243133544922,81.45709228515625
2012-03-05,165.64999389648438,66.5818099975586,56.9122314453125,107.12372589111328,80.8104476928711
2012-03-06,162.6999969482422,65.2558364868164,56.35375213623047,105.55699157714844,81.79085540771484
2012-03-07,163.6300048828125,65.86911010742188,56.788124084472656,106.29334259033203,81.29024505615234
2012-03-08,165.27999877929688,66.72270202636719,57.399810791015625,107.35089874267578,80.47667694091797
2012-03-09,166.3800048828125,67.62604522705078,57.639137268066406,107.76603698730469,80.63661193847656
2012-03-12,165.07000732421875,67.49344635009766,57.66575241088867,107.77389526367188,80.6227035522461
2012-03-13,162.3000030517578,68.83602142333984,58.73837661743164,109.71660614013672,79.20427703857422
2012-03-14,159.57000732421875,68.27247619628906,58.942283630371094,109.59910583496094,77.2086410522461
2012-03-15,161.0800018310547,68.84430694580078,59.110721588134766,110.2336196899414,77.32689666748047
2012-03-16,161.3000030517578,68.78630828857422,59.068965911865234,110.38629150390625,77.47982025146484
2012-03-19,161.58999633789062,69.36646270751953,59.48634338378906,110.8189926147461,76.55506896972656
2012-03-20,160.1300048828125,68.74486541748047,59.59286880493164,110.49640655517578,76.86097717285156
2012-03-21,160.2100067138672,68.72827911376953,59.60176467895508,110.3154296875,77.73014831542969
